iter	Passed	Remaining
0	0	41
1	0	37
2	1	35
3	1	31
4	1	31
5	1	30
6	2	29
7	2	29
8	2	28
9	3	28
10	3	27
11	3	27
12	4	27
13	4	27
14	4	27
15	5	27
16	5	27
17	5	27
18	6	26
19	6	26
20	6	25
21	7	25
22	7	25
23	7	24
24	8	24
25	8	23
26	8	23
27	9	23
28	9	23
29	9	22
30	10	22
31	10	21
32	10	21
33	10	21
34	11	20
35	11	20
36	11	20
37	12	19
38	12	19
39	13	19
40	13	19
41	13	18
42	13	18
43	14	18
44	14	17
45	14	17
46	15	17
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	16	14
53	17	14
54	17	14
55	17	13
56	17	13
57	18	13
58	18	13
59	19	12
60	19	12
61	19	12
62	20	11
63	20	11
64	20	11
65	20	10
66	21	10
67	21	10
68	21	9
69	22	9
70	22	9
71	22	8
72	23	8
73	23	8
74	23	7
75	23	7
76	24	7
77	24	6
78	24	6
79	25	6
80	25	5
81	25	5
82	25	5
83	26	5
84	26	4
85	27	4
86	27	4
87	27	3
88	28	3
89	28	3
90	28	2
91	29	2
92	29	2
93	29	1
94	30	1
95	30	1
96	30	0
97	30	0
98	31	0
99	31	0
